Locations,EFT Name,Remote Services Name,Insurance Limit Name,Address
STAPHARM SERVICES - BARBADOS AVENUE,STAPHARM SERVICES LTD. BARBADOS AVE,STAPHARM SERVICES LTD. BARBADOS AVE,Stapharm Services Ltd. Barbados Ave,"19-23 Barbados Avenue, Kingston 5"
SUPERLUBE LIMITED - SAVANNA-LA-MAR,0,0,0,#N/A
SUPERLUBE ST JAGO PLAZA,SUPERLUBE LTD. ST. JAGO SHOPPING CTR.,SUPERLUBE LTD. ST. JAGO SHOPPING CTR.,SUPERLUBE ST JAGO PLAZA ,"Shop 37 & 38 St. Jago Shopping Centre, Burk Road,
Spanish Town"
TAN TAN VARIETY STORE,TAN TAN VARIETY STORE,0,0,#N/A
Thaivanni Enterprise,THAIVANNI ENTERPRISE,THAIVANNI ENTERPRISE,0,#N/A
THE DUNBAR MALL LIMITED - George's mall,THE DUNBAR MALL LTD. GREAT GEORGE ST.,THE DUNBAR MALL LTD. GREAT GEORGE ST.,The Dunbar Mall#2- Georges Mall ,"Shop #12, George's Mall
97 Great George Street
Savannah-La-Mar"
THE DUNBAR MALL LIMITED #1,THE DUNBAR MALL LTD. CHANTILLY,THE DUNBAR MALL LTD. CHANTILLY,THE DUNBAR MALL#1- Chantilly Road ,"Shop 13 Dunbar Mall, Chantilly Road, Dunbars River, 
Savanna-La-Mar, "
THE DUNBAR MALL LIMITED #2,0,0,The Dunbar Mall#2- Georges Mall ,"Shop #12, George's Mall
97 Great George Street
Savannah-La-Mar"
The Service Pharm,THE SERVICE PHARM,THE SERVICE PHARM,THE SERVICE PHARM,#N/A
THELMARS PHARMACY,THELMAR'S PHARMACY PASSAGE FORT DR.,THELMAR'S PHARMACY PASSAGE FORT DR.,THELMARS PHARMACY- Passagefort Drive,"35A Passage Fort Drive, Portmore"
Thelmars Pharmacy #2,THELMAR'S PHARMACY PORTMORE TOWN CTR.,THELMAR'S PHARMACY PORTMORE TOWN CTR.,THELMARS #2-Portmore Town Center,#N/A
TRANXCAPE FARMS LIMITED,TRANXCAPE FARMS LTD. GOLDEN GROVE,TRANXCAPE FARMS LTD. GOLDEN GROVE,0,#N/A
TRANXCAPE FARMS LIMITED - EAST STREET KINGSTON,TRANXCAPE FARMS LTD. EAST ST.,TRANXCAPE FARMS LTD. EAST ST.,0,#N/A
TRANXCAPE FARMS LIMITED - HERB MCKENLEY,TRANXCAPE FARMS LIMITED - HERB MCKENLEY ( AJM00336,0,0,#N/A
TRIPLE SUPER SAVE BROWNS TOWN,TRIPLE SUPERSAVE BROWN'S TOWN,TRIPLE SUPERSAVE BROWN'S TOWN,0,#N/A
TRIPLE SUPERSAVE OCHO RIOS,TRIPLE SUPERSAVE OCHO RIOS,TRIPLE SUPERSAVE OCHO RIOS,0,#N/A
TRIPLE SUPERSAVE ST ANNS BAY,TRIPLE SUPERSAVE ST ANNS BAY,TRIPLE SUPERSAVE ST ANNS BAY,0,#N/A
TRIPPLE SUPERSAVE SUPERMARKET FRANKFIELD,0,0,0,#N/A
TRUE NORTH VENTURE - BAY FARM ROAD,TRUE NORTH VENTURES LTD. BAY FARM RD.,TRUE NORTH VENTURES LTD. BAY FARM RD.,True North- Bay Farm Road,"194A Bay Farm Road, Kingston 11"
TRUE NORTH VENTURES - SPANISH TOWN,TRUE NORTH VENTURES LTD. SPANISH TOWN,TRUE NORTH VENTURES LTD. SPANISH TOWN,True North- Spanish Town,"37 Wellington Street
Spanish Town"
TRUE NORTH VENTURES LIMITED,TRUE NORTH VENTURES LTD. PECHON ST.,TRUE NORTH VENTURES LTD. PECHON ST.,TRUE NORTH-KGN,"7 Pechon Street,
Kingston "
TRUE NORTH VENTURES LIMITED - MONTEGO BAY,TRUE NORTH VENTURES LTD. MONTEGO BAY,TRUE NORTH VENTURES LTD. MONTEGO BAY,True North- Montego Bay,"Unit B, Sagicor Commercial Complex
Freeport
Montego Bay"
TRUE NORTH VENTURES LIMITED - PORTLAND,TRUE NORTH VENTURES LTD. PORT ANTONIO,TRUE NORTH VENTURES LTD. PORT ANTONIO,TRUE NORTH PORTLAND,"Shop 6A, West Harbour Plaza
22 West Street
Port Antonio "
V&Y LIQUORS,V&Y LIQUORS,V&Y LIQUORS,V&Y SHOP,"Shop 1, Vons Plaza
Ducketts Road
Cambridge"
WALK'S MOBILE & ELECTRONIC SERVICES,0,WALK'S MOBILE & ELECTRONIC SERVICES,0,#N/A
Yak & Associates - Waltham,YAK & ASSOCIATES WALTHAM PK RD.,YAK & ASSOCIATES WALTHAM PK RD.,Y.A.K. & Associates- Waltham,50 Waltham Park Road
YAK & ASSOCIATES ( AJM003808 ),YAK & ASSOCIATES MAXFIELD AVE.,YAK & ASSOCIATES MAXFIELD AVE.,Y.A.K. & Associates-Maxfield,"15A Maxfield Avenue, Kingston 13"
YOUR EYES OPTICAL,YOUR EYES OPTICAL,YOUR EYES OPTICAL,YOUR EYES OPTICAL ,"Shop 2, Lee's Plaza,
Claremont"
